name,lat_long,total_bikes,tattoo_500m_rad,bars_500m_rad,cafes_500m_rad,restaurants_500m_rad,parks_500m_rad
10th & Cambie,"49.262487,-123.114397",35,3,5,25,47,0
Yaletown-Roundhouse Station,"49.274566,-123.121817",16,6,50,24,50,8
Dunsmuir & Beatty,"49.279764,-123.110154",26,5,40,50,50,2
12th & Yukon (City Hall),"49.260599,-123.113504",16,2,4,18,48,1
8th & Ash,"49.264215,-123.117772",16,0,7,26,50,1
Spyglass & Seawall,"49.270877,-123.115103",14,0,7,6,23,6
Stamps Landing,"49.26893,-123.11813",14,0,6,6,18,2
Ontario & Seawall,"49.271721,-123.104207",20,0,6,13,45,10
Canada Place,"49.287214,-123.11287",26,2,34,50,50,2
Granville & Georgia,"49.282409,-123.118541",20,4,47,50,50,5
Pender & Burrard,"49.287097,-123.118551",26,0,36,50,50,8
Marinaside & Davie,"49.273471,-123.118016",22,1,34,21,50,6
Robson & Hornby,"49.282758,-123.122092",29,5,50,46,50,6
Cordova & Granville,"49.286042,-123.113176",22,4,42,50,50,4
Hornby & Pender,"49.28602,-123.116624",22,3,47,50,50,6
Homer & Robson (Vancouver Public Library),"49.279739,-123.116251",20,3,50,50,50,1
Beatty & Robson,"49.277483,-123.114279",18,1,28,34,50,4
Beatty & Nelson,"49.275679,-123.116963",14,1,38,40,50,4
Abbott & Cordova,"49.282759,-123.106955",22,7,50,47,50,3
Comox & Denman,"49.288444,-123.139203",18,0,12,23,50,2
Cordova & Bute,"49.289124,-123.12196",17,0,23,40,50,6
Hornby & Nelson,"49.28062,-123.12482",18,6,46,29,50,5
Helmcken & Burrard,"49.279938,-123.127478",15,5,50,34,50,6
Pacific & Richards,"49.273663,-123.127075",14,2,35,20,50,6
Chilco & Beach,"49.28972,-123.144028",14,0,12,11,43,5
Comox & Broughton,"49.285253,-123.134356",12,0,11,17,32,7
Bute & Comox,"49.283343,-123.131099",22,0,18,29,50,7
Cambie & Water,"49.284605,-123.108662",32,6,50,50,50,2
Keefer & Abbott,"49.279821,-123.10802",28,4,50,45,50,4
Expo & Carrall,"49.278004,-123.105664",16,4,22,32,47,4
Keefer & Columbia,"49.279342,-123.101822",14,8,39,37,50,4
Marinaside & Cooperage,"49.273833,-123.114373",26,0,11,10,37,7
Bidwell & Burnaby,"49.28526,-123.141809",26,0,10,10,41,2
Robson & Granville,"49.281506,-123.120101",30,6,50,50,50,5
Expo & Smithe,"49.276115,-123.114496",14,1,29,31,50,4
Cypress & Cornwall,"49.272827,-123.147744",22,0,3,8,22,5
Anderson & 2nd,"49.269361,-123.13782",28,0,7,21,50,9
7th & Granville,"49.2653,-123.13811",15,0,6,12,49,8
10th & Granville,"49.262598,-123.138921",14,0,7,11,50,5
14th & Granville,"49.25894,-123.139272",14,1,3,4,22,2
14th & Cambie,"49.258763,-123.115392",14,1,4,10,30,1
Ontario & 5th,"49.266724,-123.104824",21,3,15,23,50,4
10th & Main,"49.262141,-123.101961",18,4,20,22,50,5
Cypress & 4th,"49.268269,-123.147885",18,4,8,19,47,5
Vanier Park,"49.275717,-123.142564",28,0,0,1,4,10
Nelson & Mainland,"49.276436,-123.11877",20,4,50,46,50,6
Nelson & Richards,"49.277844,-123.120942",18,7,50,50,50,6
7th & Heather,"49.265089,-123.119425",18,0,7,23,50,3
Harwood & Bute,"49.28026,-123.135244",20,0,7,9,43,11
Chilco & Barclay,"49.291909,-123.140713",18,0,4,14,43,7
Chilco & Robson,"49.293257,-123.138563",16,0,2,11,41,5
Nicola & Robson,"49.288011,-123.132006",18,0,6,40,50,3
Carrall & Hastings,"49.28117,-123.104419",18,7,50,50,50,6
šxʷƛ̓ənəq Xwtl'e7énḵ Square - Vancouver Art Gallery,"49.283227,-123.120523",27,2,50,50,50,5
Stanley Park - Vancouver Aquarium,"49.299292,-123.130281",16,0,0,2,1,4
Stanley Park - Second Beach North,"49.29534,-123.150433",16,0,1,0,1,7
Stanley Park - Second Beach South,"49.294318,-123.148808",18,0,1,0,3,11
Stanley Park - Totem Poles,"49.298657,-123.121176",20,0,0,0,0,0
Heather & 14th,"49.259183,-123.120126",18,1,2,14,38,1
8th & Ontario,"49.263837,-123.105173",16,4,14,24,48,3
1st & Chestnut,"49.270721,-123.146175",26,4,6,21,43,4
