latitude,longitude,name,lat_long,total_bikes
49.262487,-123.114397,10th & Cambie,"49.262487,-123.114397",35
49.274566,-123.121817,Yaletown-Roundhouse Station,"49.274566,-123.121817",16
49.279764,-123.110154,Dunsmuir & Beatty,"49.279764,-123.110154",26
49.260599,-123.113504,12th & Yukon (City Hall),"49.260599,-123.113504",16
49.264215,-123.117772,8th & Ash,"49.264215,-123.117772",16
49.270877,-123.115103,Spyglass & Seawall,"49.270877,-123.115103",14
49.26893,-123.11813,Stamps Landing,"49.26893,-123.11813",14
49.271721,-123.104207,Ontario & Seawall,"49.271721,-123.104207",20
49.287214,-123.11287,Canada Place,"49.287214,-123.11287",26
49.282409,-123.118541,Granville & Georgia,"49.282409,-123.118541",20
49.287097,-123.118551,Pender & Burrard,"49.287097,-123.118551",26
49.273471,-123.118016,Marinaside & Davie,"49.273471,-123.118016",22
49.282758,-123.122092,Robson & Hornby,"49.282758,-123.122092",29
49.286042,-123.113176,Cordova & Granville,"49.286042,-123.113176",22
49.28602,-123.116624,Hornby & Pender,"49.28602,-123.116624",22
49.279739,-123.116251,Homer & Robson (Vancouver Public Library),"49.279739,-123.116251",20
49.277483,-123.114279,Beatty & Robson,"49.277483,-123.114279",18
49.275679,-123.116963,Beatty & Nelson,"49.275679,-123.116963",14
49.282759,-123.106955,Abbott & Cordova,"49.282759,-123.106955",22
49.288444,-123.139203,Comox & Denman,"49.288444,-123.139203",18
49.289124,-123.12196,Cordova & Bute,"49.289124,-123.12196",17
49.28062,-123.12482,Hornby & Nelson,"49.28062,-123.12482",18
49.279938,-123.127478,Helmcken & Burrard,"49.279938,-123.127478",15
49.273663,-123.127075,Pacific & Richards,"49.273663,-123.127075",14
49.28972,-123.144028,Chilco & Beach,"49.28972,-123.144028",14
49.285253,-123.134356,Comox & Broughton,"49.285253,-123.134356",12
49.283343,-123.131099,Bute & Comox,"49.283343,-123.131099",22
49.284605,-123.108662,Cambie & Water,"49.284605,-123.108662",32
49.279821,-123.10802,Keefer & Abbott,"49.279821,-123.10802",28
49.278004,-123.105664,Expo & Carrall,"49.278004,-123.105664",16
49.279342,-123.101822,Keefer & Columbia,"49.279342,-123.101822",14
49.273833,-123.114373,Marinaside & Cooperage,"49.273833,-123.114373",26
49.28526,-123.141809,Bidwell & Burnaby,"49.28526,-123.141809",26
49.281506,-123.120101,Robson & Granville,"49.281506,-123.120101",30
49.276115,-123.114496,Expo & Smithe,"49.276115,-123.114496",14
49.272827,-123.147744,Cypress & Cornwall,"49.272827,-123.147744",22
49.269361,-123.13782,Anderson & 2nd,"49.269361,-123.13782",28
49.2653,-123.13811,7th & Granville,"49.2653,-123.13811",15
49.262598,-123.138921,10th & Granville,"49.262598,-123.138921",14
49.25894,-123.139272,14th & Granville,"49.25894,-123.139272",14
49.258763,-123.115392,14th & Cambie,"49.258763,-123.115392",14
49.266724,-123.104824,Ontario & 5th,"49.266724,-123.104824",21
49.262141,-123.101961,10th & Main,"49.262141,-123.101961",18
49.268269,-123.147885,Cypress & 4th,"49.268269,-123.147885",18
49.275717,-123.142564,Vanier Park,"49.275717,-123.142564",28
49.276436,-123.11877,Nelson & Mainland,"49.276436,-123.11877",20
49.277844,-123.120942,Nelson & Richards,"49.277844,-123.120942",18
49.265089,-123.119425,7th & Heather,"49.265089,-123.119425",18
49.28026,-123.135244,Harwood & Bute,"49.28026,-123.135244",20
49.291909,-123.140713,Chilco & Barclay,"49.291909,-123.140713",18
