lat_long,tattoo_500m_rad,bars_500m_rad,cafes_500m_rad,restaurants_500m_rad,parks_500m_rad
"49.262487,-123.114397",3,5,25,47,0
"49.274566,-123.121817",6,50,24,50,8
"49.279764,-123.110154",5,40,50,50,2
"49.260599,-123.113504",2,4,18,48,1
"49.264215,-123.117772",0,7,26,50,1
"49.270877,-123.115103",0,7,6,23,6
"49.26893,-123.11813",0,6,6,18,2
"49.271721,-123.104207",0,6,13,45,10
"49.287214,-123.11287",2,34,50,50,2
"49.282409,-123.118541",4,47,50,50,5
"49.287097,-123.118551",0,36,50,50,8
"49.273471,-123.118016",1,34,21,50,6
"49.282758,-123.122092",5,50,46,50,6
"49.286042,-123.113176",4,42,50,50,4
"49.28602,-123.116624",3,47,50,50,6
"49.279739,-123.116251",3,50,50,50,1
"49.277483,-123.114279",1,28,34,50,4
"49.275679,-123.116963",1,38,40,50,4
"49.282759,-123.106955",7,50,47,50,3
"49.288444,-123.139203",0,12,23,50,2
"49.289124,-123.12196",0,23,40,50,6
"49.28062,-123.12482",6,46,29,50,5
"49.279938,-123.127478",5,50,34,50,6
"49.273663,-123.127075",2,35,20,50,6
"49.28972,-123.144028",0,12,11,43,5
"49.285253,-123.134356",0,11,17,32,7
"49.283343,-123.131099",0,18,29,50,7
"49.284605,-123.108662",6,50,50,50,2
"49.279821,-123.10802",4,50,45,50,4
"49.278004,-123.105664",4,22,32,47,4
"49.279342,-123.101822",8,39,37,50,4
"49.273833,-123.114373",0,11,10,37,7
"49.28526,-123.141809",0,10,10,41,2
"49.281506,-123.120101",6,50,50,50,5
"49.276115,-123.114496",1,29,31,50,4
"49.272827,-123.147744",0,3,8,22,5
"49.269361,-123.13782",0,7,21,50,9
"49.2653,-123.13811",0,6,12,49,8
"49.262598,-123.138921",0,7,11,50,5
"49.25894,-123.139272",1,3,4,22,2
"49.258763,-123.115392",1,4,10,30,1
"49.266724,-123.104824",3,15,23,50,4
"49.262141,-123.101961",4,20,22,50,5
"49.268269,-123.147885",4,8,19,47,5
"49.275717,-123.142564",0,0,1,4,10
"49.276436,-123.11877",4,50,46,50,6
"49.277844,-123.120942",7,50,50,50,6
"49.265089,-123.119425",0,7,23,50,3
"49.28026,-123.135244",0,7,9,43,11
"49.291909,-123.140713",0,4,14,43,7
"49.293257,-123.138563",0,2,11,41,5
"49.288011,-123.132006",0,6,40,50,3
"49.28117,-123.104419",7,50,50,50,6
"49.283227,-123.120523",2,50,50,50,5
"49.299292,-123.130281",0,0,2,1,4
"49.29534,-123.150433",0,1,0,1,7
"49.294318,-123.148808",0,1,0,3,11
"49.298657,-123.121176",0,0,0,0,0
"49.259183,-123.120126",1,2,14,38,1
"49.263837,-123.105173",4,14,24,48,3
"49.270721,-123.146175",4,6,21,43,4
"49.265605,-123.152566",3,7,23,49,5
"49.267222,-123.153157",3,11,20,45,2
"49.262255,-123.126217",1,2,17,50,4
"49.257654,-123.153212",0,0,2,2,2
"49.25919,-123.148268",0,0,4,9,2
"49.25741,-123.148531",0,0,1,1,1
"49.285953,-123.124066",0,32,46,50,8
"49.280881,-123.130672",0,16,27,43,4
"49.256845,-123.120071",1,3,11,42,4
"49.25849,-123.104799",0,10,9,30,6
"49.258425,-123.100792",1,15,11,40,4
"49.270905,-123.126006",0,10,8,31,8
"49.273568,-123.129935",0,21,22,44,6
"49.277141,-123.122589",6,50,50,50,5
